Bathrooms,Bedrooms,Beds,LocationName,NumGuests,NumReviews,Price,Rating,latitude,longitude,zipcode,pop2016,pop2010,pop2000,cost_living_index (US avg. = 100),land_area (sq.mi.),water_area (sq.mi.),pop_density (people per mile),number of males,number of females,prop taxes paid 2016,median taxes (with mortgage,median taxes (no mortgage),median house value,median houshold income,median monthly owner costs (with mortgage),median monthly owner costs (no mortgage),median gross rent,median asking price for vacant for-sale home/condo,unemployment (%),Number of Homes,Count of Abnb,Density of Abnb (%),Average Abnb Price (by zipcode),Average NumReviews (by zipcode),Average Rating (by zipcode),Average Number of Bathrooms (by zipcode),Average Number of Bedrooms (by zipcode),Average Number of Beds (by zipcode),Average Number of Guests (by zipcode)
1.0,1.0,2.0,Seattle,4.0,99.0,124.0,Y,47.61531,-122.33761,98101,12216.0,10238.0,9010,118.9,0.5,0.1,23528,6801,5416,0.8,3827.0,4223.0,514775.0,65925.0,2463.0,793.0,1369.0,1204434.0,3.8,4886.4,143,2.926489849,114.8881119,74.70229008,4.796153846,1.076923077,1.240384615,1.79020979,1.79020979
2.0,4.0,4.0,Washington,8.0,186.0,330.0,Y,38.88536,-77.00601,20003,29487.0,26454.0,23122,123.8,2.2,0.3,13144,15559,13928,0.5,4113.0,3131.0,771719.0,118469.0,2685.0,577.0,1848.0,730517.0,4.4,11794.8,410,3.476108115,127.7487685,54.34444444,4.900289017,1.196078431,1.442708333,2.487804878,2.487804878
3.0,3.0,4.0,Atlanta,8.0,42.0,160.0,Y,33.74185,-84.37858,30312,22786.0,19360.0,20221,98.5,3.4,0.0,6796,10824,11961,1.0,2455.0,1388.0,234413.0,44854.0,1656.0,502.0,1017.0,445032.0,6.4,9114.4,200,2.194329852,119.3686869,40.4,4.9375,1.375,1.602094241,1.925,1.925
1.0,1.0,2.0,San Diego,4.0,11.0,85.0,Y,32.7438,-117.16348,92103,34358.0,31066.0,30186,137.1,3.8,0.0,9123,17440,16918,0.7,4955.0,3037.0,707677.0,75195.0,2675.0,654.0,1358.0,592272.0,3.8,13743.2,503,3.659991851,155.15230459999995,49.58097686,4.882271468,1.357852883,1.665943601,2.1510934390000003,2.1510934390000003
1.0,2.0,2.0,San Francisco,4.0,12.0,255.0,N,37.76075,-122.43779,94114,33984.0,31124.0,30574,156.5,1.4,0.0,23843,20028,13958,0.6,9677.0,3283.0,1278503.0,136895.0,3987.0,686.0,2024.0,1647458.0,2.9,13593.6,423,3.111758475,194.2116788,85.53246753,4.914728682,1.201946472,1.421052632,1.532846715,1.532846715
1.0,2.0,2.0,New Orleans,4.0,8.0,70.0,Y,29.97451,-90.08614,70119,37419.0,36228.0,50175,101.4,4.5,0.0,8368,19151,18268,0.6,1778.0,1139.0,244735.0,33708.0,1588.0,442.0,986.0,192284.0,6.8,14967.6,829,5.538630108,109.8454988,49.68790637,4.878179384,1.249698432,1.84828496,2.343787696,2.343787696
1.0,1.0,1.0,New York,2.0,50.0,100.0,N,40.76992,-73.95604,10021,45910.0,43631.0,102078,162.9,0.4,0.0,118598,20467,25441,0.8,10587.0,10810.0,1308470.0,120480.0,3037.0,1161.0,2027.0,6636065.0,2.0,18364.0,47,0.255935526,150.5106383,44.07142857,4.684210526,1.042553191,1.277777778,1.574468085,1.574468085
2.0,1.0,1.0,Brooklyn,2.0,6.0,80.0,Y,40.66744,-73.98798000000002,11215,70968.0,63488.0,63001,161.1,2.2,0.0,32581,34310,36657,0.4,3763.0,4409.0,1110796.0,112666.0,3087.0,873.0,2067.0,1399549.0,3.7,28387.2,175,0.616475031,128.3103448,51.33783784,4.854609929,1.040229885,1.4223602480000002,1.914285714,1.914285714
2.0,3.0,3.0,San Francisco,5.0,15.0,599.0,Y,37.75007,-122.43925,94131,28756.0,26881.0,27897,157.2,2.1,0.0,13828,15744,13013,0.6,7754.0,3344.0,1130219.0,115691.0,3496.0,546.0,1975.0,1406358.0,3.4,11502.4,365,3.1732508,210.890411,72.40350877,4.920353982,1.257617729,1.629518072,1.917808219,1.917808219
2.0,1.0,4.0,Washington,2.0,19.0,33.0,Y,38.91848,-77.0297,20009,52246.0,47992.0,46561,123.9,1.3,0.0,39745,27339,24908,0.6,3966.0,4483.0,680818.0,101610.0,2507.0,862.0,1786.0,627371.0,3.8,20898.4,189,0.904375455,112.8359788,70.79190751,4.885964912,1.243386243,1.348993289,1.7936507940000002,1.7936507940000002
