top_k_columns,Error_AUC_score,duration(seconds)
      39,0.665316,  1176.589372
      16,0.661054,   216.650307
      19,0.661008,   315.528970
      27,0.659941,   648.033594
      25,0.659911,   546.456439
      22,0.659665,   397.364891
      17,0.659559,   250.313891
      15,0.659493,   208.459635
      24,0.659280,   462.035788
      18,0.659220,   374.761896
      14,0.659153,   185.619235
      34,0.658881,   901.047719
      37,0.658695,  1062.099602
      13,0.658657,   150.544825
       7,0.658602,    50.755731
       9,0.658549,    81.344871
      31,0.658515,   767.446196
      29,0.658514,   666.625378
       4,0.658514,    19.356213
      23,0.658496,   429.016584
      30,0.658477,   708.817369
       3,0.658445,    11.449283
      10,0.658397,    97.641371
      32,0.658393,   801.709212
      26,0.658386,   604.921822
      20,0.658357,   344.583976
      11,0.658353,   117.692864
      36,0.658322,  1009.696728
       2,0.658307,     4.578841
       6,0.658221,    38.935293
       8,0.658138,    66.510531
       5,0.658117,    27.482682
      21,0.658052,   389.603180
      12,0.658021,   132.485830
      28,0.658002,   639.702301
       1,0.657894,     1.822325
      38,0.657826,  1119.592690
      33,0.657713,   851.202567
      35,0.657177,   953.364894
